"ID odgovora","Datum prosleđivanja","Poslednja strana","Početni jezik","Datum početka","Datum poslednje akcije","IP adresa","Molimo vas da označite svoj pol. []","Molimo Vas da označite svoju ulogu u današnjoj poseti veb-sajta Odseka. []","Koliko često posećujete veb-sajt Odseka za psihologiju? []","Koliko vremena provedete na veb-sajtu Odseka prilikom tipične posete? []","Kakav je vaš opšti utisak vezan za korišćenje veb-sajta Odseka za psihologiju? []","{if(is_empty(hidden), rand(1, 100), hidden)}","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa nekoliko narednih tvrdnji.  Opšti izgled i dizajn veb-sajta je atraktivan []","Početna stranica veb-sajta mi daje jednosavan uvid u njegovu strukturu i logiku korišćenja. []","Uvek znam gde mogu da pronađem informaciju koju tražim. []","Bilo mi je lako da naučim kako da se krećem kroz veb-sajt. []","Informacije koje se nude na veb-sajtu su korisne, potpune i jasne. []","Jezik/terminologija koji se koristi u sadržaju su laki za čitanje i razumevanje. []","Opis ponuđen na stranicama izbornih kurseva mi je veoma koristan prilikom odabira predmeta. []","U odeljku Aktuelnosti i vesti pronalazim korisne informacije. []","Informacije koje se nude na veb-sajtu se redovno ažuriraju. []","Lako i brzo mogu da rezervišem termin za eksperimente. []","Mislim da budući studenti Odseka mogu lako da nauče kako da koriste veb-sajt. []","Zadovoljan sam brzinom učitavanja stranica veb-sajta. []","Veb-sajtu češće pristupam sa mobilnih uređaja nego sa računara. []","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa nekoliko narednih tvrdnji.  Početna stranica veb-sajta mi daje jednosavan uvid u njegovu strukturu i logiku korišćenja. []","Mislim da budući studenti Odseka mogu lako da nauče kako da koriste veb-sajt. []","Bilo mi je lako da naučim kako da se krećem kroz veb-sajt. []","Opšti izgled i dizajn veb-sajta je atraktivan. []","Informacije koje se nude na veb-sajtu su korisne, potpune i jasne. []","Informacije koje se nude na veb-sajtu se redovno ažuriraju. []","Veb-sajtu češće pristupam sa mobilnih uređaja nego sa računara. []","Opis ponuđen na stranicama izbornih kurseva mi je veoma koristan prilikom odabira predmeta. []","Uvek znam gde mogu da pronađem informaciju koju tražim. []","U odeljku Aktuelnosti i vesti pronalazim korisne informacije. []","Lako i brzo mogu da rezervišem termin za eksperimente. []","Jezik/terminologija koji se koristi u sadržaju su laki za čitanje i razumevanje. []","Zadovoljan sam brzinom učitavanja stranica veb-sajta. []","Da li ste naišli na neki problem ili ste imali negativno iskustvo prilikom korišćenja veb-sajta? Ako jeste, koje?","Koju vrstu informacija bi, po vašem mišljenu, trebalo dodati na veb-sajt?","Da li imate neke konkretne sugestije za poboljšanje veb-sajta Odseka za psihologiju?","Da li ste naišli na neki problem ili ste imali negativno iskustvo prilikom korišćenja veb-sajta? Ako jeste, koje?","Koju vrstu informacija bi, po vašem mišljenu, trebalo dodati na veb-sajt?","Da li imate neke konkretne sugestije za poboljšanje veb-sajta Odseka za psihologiju?","Ukupno vreme","Vreme grupe: Molim Vas odgovorite na sledeća pitanja","Vreme pitanja: DemografskePol","Vreme pitanja: Demografske","Vreme pitanja: zaAnalytics1","Vreme pitanja: vreme","Vreme pitanja: zaAnalzticsMozda","Vreme pitanja: hidden","Vreme grupe: Molim Vas obeležite stepen slaganja na sledeća pitanja.","Vreme pitanja: b","Vreme pitanja: b2","Vreme pitanja: b3","Vreme pitanja: b4","Vreme pitanja: b5","Vreme pitanja: b6","Vreme pitanja: b7","Vreme pitanja: b8","Vreme pitanja: b9","Vreme pitanja: b10","Vreme pitanja: b11","Vreme pitanja: b12","Vreme pitanja: b13","Vreme grupe: Molim Vas obeležite stepen slaganja na sledeća pitanja.","Vreme pitanja: b2","Vreme pitanja: b11","Vreme pitanja: b4","Vreme pitanja: b","Vreme pitanja: b5","Vreme pitanja: b9","Vreme pitanja: b13","Vreme pitanja: b7","Vreme pitanja: b3","Vreme pitanja: b8","Vreme pitanja: b10","Vreme pitanja: b6","Vreme pitanja: b12","Vreme grupe: Molim Vas napišite Vaš odgovor na sledeća pitanja.","Vreme pitanja: textboxPrvi","Vreme pitanja: textboxDrugi","Vreme pitanja: textboxTreci","Vreme pitanja: textboxPrvimali","Vreme pitanja: textboxDrugimali","Vreme pitanja: textboxTrecimali"
"87","2019-08-15 12:37:26","38","sr-Latn","2019-08-15 12:30:15","2019-08-15 12:37:26","185.68.63.49","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Uglavnom pozitivan","78","","","","","","","","","","","","","","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se ne slažem","Potpuno se slažem","uglavnom se slažem","","","","","","","441.73","","5.26","4.11","7.14","225.44","7.12","","","","","","","","","","","","","","","","","25.64","49.98","9.27","9.04","19.79","4.73","2.68","14.1","6.58","14.02","10.81","6.49","5.94","","5.39","4.34","3.86","","",""
"88","2019-08-16 19:50:07","38","sr-Latn","2019-08-16 19:46:44","2019-08-16 19:50:07","188.2.54.101","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","38","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Uopšte se ne slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","","","","","","","","","","","","","","","","","Nema opisa predmeta, pogotovo za izborne predmete, nema dodatnih informacija o kursu koje bi pomogle pri odluci.","Opis predmeta ili kursa","","196.29","","3.18","20.14","5.87","6.56","6.59","","","9.35","6.31","7.23","4.02","4.91","5.22","10.08","6.61","5.07","6.04","4.47","3.35","6.66","","","","","","","","","","","","","","","","","","","51.78","16.65","6.2"
"89","","8","sr-Latn","2019-08-16 20:56:24","2019-08-16 20:57:07","109.92.66.133","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Veoma pozitivan","17","Uglavnom se slažem","Uglavnom se slažem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.3","","6.75","3.51","9.14","12.68","5.42","","","3.8","4.29","3.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90","2019-08-17 07:58:31","38","sr-Latn","2019-08-17 07:56:36","2019-08-17 07:58:31","24.237.158.1","Muški","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Veoma pozitivan","40","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se ne slažem","Neodlučan/na sam","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","","","","","","","","","","","","","","127.87","","4.55","5.92","7.56","4.95","5.42","","","5.91","6.47","4.76","5.44","4.77","5.91","9.76","6.57","5.63","5.19","4.75","5.42","5.07","","","","","","","","","","","","","","","","","","","4.71","6.19","12.92"
"91","","19","sr-Latn","2019-08-18 18:39:17","2019-08-18 18:40:11","109.245.38.61","Muški","Student Odseka","Ovo mi je prvi put","Manje od 5 minuta","Veoma negativan","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.99","","14.95","0.64","29.7","0.94","2.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92","","","sr-Latn","2019-08-18 23:49:50","2019-08-18 23:49:50","93.86.32.80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93","2019-08-22 05:49:32","38","sr-Latn","2019-08-22 05:47:19","2019-08-22 05:49:32","87.116.182.51","Ženski","Student Odseka","Nekoliko puta u semestru","Između 5 i 15 minuta","Uglavnom pozitivan","16","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Neodlučan/na sam","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","uglavnom se slažem","Nedolučan/na sam","","","","","","","","","","","","","","","","","","","","147.21","","9.83","8.35","7.31","12.66","6.6","","","9.95","6.87","4.28","3.61","4.85","4.27","6.92","5.07","5.37","12.6","4.82","4.14","4.89","","","","","","","","","","","","","","","","","","","7.62","13.51","3.69"
"94","2019-08-22 13:17:42","38","sr-Latn","2019-08-22 13:12:42","2019-08-22 13:17:42","109.245.36.143","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Veoma pozitivan","30","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","","","","","","","","","","","","","","","","","","Radni kalendar, jeste da postoji na sajtu fakulteta, ali ovde bi isto dobrodosao.","Nemam, drago mi je što postoji, verujem u tim koji je zaslužan za to da će i nastaviti sa dobrim radom.","313.03","","17.55","6.56","7.43","8.15","5.85","","","16.21","14.17","6.06","2.81","3.3","2.43","11.11","3.88","3.81","7.07","5.25","4.88","5.12","","","","","","","","","","","","","","","","","","","43.86","107.36","30.17"
"95","2019-08-22 19:18:02","38","sr-Latn","2019-08-22 19:16:12","2019-08-22 19:18:02","194.230.244.183","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Veoma pozitivan","18","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","","","","","","","","","","","","","","118.34","","6.27","6.12","6.98","6.12","3.73","","","7.76","5.63","5.91","3.71","2.78","3.68","3.78","3.98","3.02","2.05","3.41","2.36","4.18","","","","","","","","","","","","","","","","","","","5.98","25.14","5.75"
"96","2019-08-23 22:33:45","38","sr-Latn","2019-08-23 22:27:32","2019-08-23 22:33:45","188.2.44.45","Ženski","Student Odseka","Nekoliko puta u semestru","Manje od 5 minuta","Veoma pozitivan","56","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uopšte se ne slažem","Uglavnom se ne slažem","Potpuno se slažem","Potpuno se slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","","S obzirom na to da je dizajn sajta FF prilično loše organizovan da i nakon više godina studija nisam uspela da naučim da se snalazim na istom i uvek mi treba vremena da pronađem informaciju za kojom tragom ne bi bilo loše da sajt Odseka sadrži i neke od informacija koje se nalaze na sajtu FF, a koje su relevantne za studente Odseka. Na primer, da sajt sadrži informacije o rokovima za prijave ispita. 

Takođe bi bilo korisno da na sajtu stoje opisi procedura za prijavu i odbranu master radova, odnoso doktorske disertacije s obzirom na to da ni sajt FF ne sadrži jasan i detaljan pregled. ","","","","","384.26","","9.55","4.37","6.15","8.11","3.21","","","","","","","","","","","","","","","","","4.3","4.63","3.89","4.91","3.51","5.63","7.78","8.62","3.72","2.93","6.99","3.65","3.72","","4.72","280.47","3.4","","",""
"97","2019-08-24 13:00:08","38","sr-Latn","2019-08-24 12:55:32","2019-08-24 13:00:08","93.86.66.134","Muški","Student Odseka","Nekoliko puta mesečno","Manje od 5 minuta","Uglavnom pozitivan","75","","","","","","","","","","","","","","Neodlučan/na sam","Neodlučan/na sam","Potpuno se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Uopšte se ne slažem","Uopšte se ne slažem","Uglavnom se ne slažem","Neodlučan/na sam","Neodlučan/na sam","Uglavnom se slažem","Potpuno se slažem","Ne prilikom koriscenja veb sajta, ali ova anketa ima nekoliko problema, skoro na svakom pitanju iskace da nisam izabrao odgovor na obavezno pitanje, a odgovor sam izabrao. Interesantno bi bilo da je ovo deo nekog eksperimenta da se vidi istrajnost korisnika ili neki slican konstrukt, sto me ne bi cudilo uopste. :)","","","","","","289.54","","2.34","4.13","5.52","23.62","7.47","","","","","","","","","","","","","","","","","6.14","5.37","26.84","13.42","16","3.01","4.53","5.09","13.84","3.99","4.09","3.72","6.2","","124.47","6.46","3.29","","",""
"98","","2","sr-Latn","2019-08-24 13:24:06","2019-08-24 13:24:19","188.2.245.119","Ženski","Student Odseka","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.14","","11.05","3.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99","2019-08-24 13:32:21","38","sr-Latn","2019-08-24 13:26:26","2019-08-24 13:32:21","188.2.75.115","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom negativan","33","Uglavnom se ne slažem","Neodlučan/na sam","Uglavnom se ne slažem","Uglavanom se ne slažem","Uglavnom se ne slažem","Neodlučan/na sam","Uglavnom se ne slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se ne slažem","Uglavnom se ne slažem","Potpuno se slažem","","","","","","","","","","","","","","","","","Nisam mogla da nadjem informacije koje su mi bile potrebne i niko sa fakulteta nije mogao da mi pomogne, u sluzbi su vikali na mene sto uopste pitam jer ja ocigledno treba da se rodim pametna","O nacinu funkcionisanja fakulteta uopste, bodovima za upis sledece godine, budzet, prenosu predmeta...","Naterati sve profesore da koriste sajt","364.53","","3.5","4.49","3.95","4.88","7.16","","","6.25","137.37","2.97","2.66","4.36","4.19","5.82","6.21","4.28","6.28","3.22","2.76","4.7","","","","","","","","","","","","","","","","","","","87.54","40.73","21.21"
"100","2019-08-24 13:29:47","38","sr-Latn","2019-08-24 13:26:49","2019-08-24 13:29:47","109.245.33.209","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Uglavnom pozitivan","66","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Ugalvnom se ne slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Ne","","","","","","188.23","","2.97","4.72","14.55","52.97","7.06","","","","","","","","","","","","","","","","","13.29","4.9","4.89","6.47","5.26","3.83","6.43","9.56","5.51","6.28","7.81","4.82","4.58","","13.55","5.21","3.57","","",""
"101","2019-08-24 13:30:35","38","sr-Latn","2019-08-24 13:27:50","2019-08-24 13:30:35","188.2.36.192","Ženski","Student Odseka","Barem jednom nedeljno","Između 15 i 30 minuta","Uglavnom pozitivan","83","","","","","","","","","","","","","","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","","","","","","","176.41","","4.32","7.71","13.41","13.65","7.21","","","","","","","","","","","","","","","","","14.27","6.56","4.24","4.99","5.88","11.78","19.62","14.13","4.3","5.25","4.85","5.37","12.77","","6.54","4.88","4.68","","",""
"102","2019-08-24 13:42:28","38","sr-Latn","2019-08-24 13:37:46","2019-08-24 13:42:28","89.216.167.5","Ženski","Student Odseka","Barem jednom nedeljno","Između 15 i 30 minuta","Veoma pozitivan","91","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Nisam sigurna, da li je to do sajta ili do profesora koji postavlja informacije, ali bi vremenski period trajanja npr. postavljenih rezultata ispita/kolokvijuma mogao biti duži, makar celu školsku godinu, a ne samo jedan ispitni rok. ","","","","","","292.52","","4.07","11.86","8.27","4.34","4.33","","","","","","","","","","","","","","","","","9.73","4.43","3.2","3.84","4.84","4.48","5.56","5.4","4.04","4.59","7.86","4.5","3.38","","162.84","25.21","5.75","","",""
"103","2019-08-24 13:45:53","38","sr-Latn","2019-08-24 13:41:07","2019-08-24 13:45:53","188.2.106.185","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","84","","","","","","","","","","","","","","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Neodlučan/na sam","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se ne slažem","Neodlučan/na sam","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","uglavnom se slažem","Ne
","Opis svih predmeta na engleskom jeziku za potrebe studentske razmene, kao i informacije o otvorenim konkursima za studentske razmene koje se nude za nas odsek","Uvesti opise predmeta na engleskom jeziku","","","","297.79","","8.34","4.65","5.92","14.22","7.37","","","","","","","","","","","","","","","","","8.92","5.38","5.44","9.65","14.12","4.1","3.48","8.43","3.59","4.44","6.32","4.23","3.56","","21.58","115.74","38.31","","",""
"104","","19","sr-Latn","2019-08-24 14:01:48","2019-08-24 14:02:38","87.116.181.95","Muški","Budući student Odseka","Nekoliko puta mesečno","Između 5 i 15 minuta","Uglavnom pozitivan","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.33","","3.14","7.54","1.04","8.77","4.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"105","","12","sr-Latn","2019-08-24 14:14:16","2019-08-24 14:15:47","109.92.82.23","Ženski","Student Odseka","Nekoliko puta mesečno","Između 5 i 15 minuta","Uglavnom negativan","41","Uopšte se ne slažem","Uglavnom se ne slažem","Uglavnom se ne slažem","Neodlučan/na sam","Uglavnom se ne slažem","Uglavnom se ne slažem","","","","","","","","","","","","","","","","","","","","","","","","","","","97.48","","10.25","12.86","8.41","7.94","8.05","","","12.97","8.03","3.82","11.97","7.82","5.36","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"106","2019-08-24 14:29:44","38","sr-Latn","2019-08-24 14:14:52","2019-08-24 14:29:44","37.19.109.63","Ženski","Student Odseka","Nekoliko puta mesečno","Između 5 i 15 minuta","Neutralan","46","Uglavnom se ne slažem","Neodlučan/na sam","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Potpuno se slažem","Uglavnom se ne slažem","Neodlučan/na sam","Uglavnom se slažem","Uopšte se ne slažem","Neodlučan/na sam","uglavnom se slažem","Potpuno se slažem","","","","","","","","","","","","","","","","","","Rasporede ispita, rad seminarske biblioteke, neki profesori ne stavljaju prezentacije sa predavanja","Deo Spisak predmeta po semestrima bi trebalo promeniti, napraviti precice koje direktno vode do razlicitih semestara. 
I ne bi bilo lose da prijava ide preko e-maila da bismo sami mogli da promenimo sifru ukoliko je zaboravimo. ","903.79","","11.85","4","6.78","5.47","8.35","","","20.23","11.06","7.03","3.92","26.99","4.62","13.61","5.98","3.97","6.48","9.35","20.31","5.28","","","","","","","","","","","","","","","","","","","35.77","195.72","497.02"
"107","2019-08-24 14:23:10","38","sr-Latn","2019-08-24 14:21:32","2019-08-24 14:23:10","212.200.157.217","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Uglavnom pozitivan","10","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","uglavnom se slažem","Uglavnom se ne slažem","","","","","","","","","","","","","","","","","","","","107.33","","3.37","4.09","5.58","8.37","5.46","","","8.62","6.32","5.38","3.48","2.99","2.19","6.95","6.45","9.83","3.06","5.93","3.32","5.24","","","","","","","","","","","","","","","","","","","4.5","4.16","2.04"
"108","2019-08-24 14:28:51","38","sr-Latn","2019-08-24 14:25:26","2019-08-24 14:28:51","212.200.181.43","Muški","Nastavnik Odseka","Nekoliko puta mesečno","Manje od 5 minuta","Uglavnom pozitivan","92","","","","","","","","","","","","","","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Uopšte se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Potpuno se slažem","","","Promeniti dizajn i regulisati da rezultati ispita ne budu javno dostupni svima.","","","","214.55","","2.68","13.2","9.32","11.14","8.66","","","","","","","","","","","","","","","","","12.83","11.14","4.19","7.55","4.03","5.87","9.76","6.46","10.62","3.34","4.18","7.58","3.06","","5.56","3.84","69.54","","",""
"109","","19","sr-Latn","2019-08-24 15:06:02","2019-08-24 15:07:04","178.220.64.140","Ženski","Student Odseka","Nekoliko puta mesečno","Između 5 i 15 minuta","Veoma pozitivan","88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.49","","19.95","13.62","13.62","9.75","9.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110","2019-08-24 17:05:39","38","sr-Latn","2019-08-24 17:04:11","2019-08-24 17:05:39","87.116.182.20","Muški","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Uglavnom pozitivan","99","","","","","","","","","","","","","","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Neodlučan/na sam","Uglavnom se slažem","Potpuno se slažem","","","","","","","99.52","","2.9","5.49","6.12","2.23","6.77","","","","","","","","","","","","","","","","","12.76","4.62","2.91","3.9","4.96","4.73","5.07","5.15","3.02","5.7","5.54","4.42","2.72","","4.22","3.64","2.65","","",""
"111","2019-08-24 18:13:16","38","sr-Latn","2019-08-24 18:10:49","2019-08-24 18:13:16","178.149.170.165","Ženski","Student Odseka","Nekoliko puta u semestru","Između 5 i 15 minuta","Uglavnom pozitivan","38","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Neodlučan/na sam","Ugalvnom se ne slažem","Uglavnom se slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","","","","","","","","","","","","","","","","","","","","158.49","","2.47","6.86","15.08","15.59","6.16","","","10.69","6.39","4.59","4.45","4.7","3.56","13.65","5.74","10.23","18.4","5.79","4.06","4.89","","","","","","","","","","","","","","","","","","","5.33","6.76","3.1"
"112","","14","sr-Latn","2019-08-24 19:20:29","2019-08-24 19:22:10","178.220.76.35","Ženski","Budući student Odseka","Nekoliko puta mesečno","Između 15 i 30 minuta","Uglavnom pozitivan","35","Uglavnom se ne slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","","","","","","","","","","","","","","","","","","","109.82","","3.61","15.29","7.54","14.36","7.12","","","13.82","8.45","4.72","8.4","4.49","4.55","10.91","6.56","","","","","","","","","","","","","","","","","","","","","","","","","",""
"113","2019-08-24 22:16:01","38","sr-Latn","2019-08-24 22:13:41","2019-08-24 22:16:01","178.223.165.120","Ženski","Student Odseka","Nekoliko puta mesečno","Manje od 5 minuta","Neutralan","61","","","","","","","","","","","","","","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se ne slažem","Uopšte se ne slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","uglavnom se slažem","","","","","","","150.57","","15.45","15.62","6.66","15.06","6.36","","","","","","","","","","","","","","","","","10.02","6.33","4.47","4.72","4.05","3.63","5.95","11.01","4.13","4.64","10.31","4.31","3.82","","7.41","3.49","3.13","","",""
"114","2019-08-25 01:12:04","38","sr-Latn","2019-08-25 01:09:40","2019-08-25 01:12:04","77.105.52.115","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Uglavnom pozitivan","23","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uopšte se ne slažem","","","","","","","","","","","","","","","","","","","","153.53","","4.79","14.54","7.2","4.84","5.27","","","8.78","7.18","5.28","3.06","5.56","2.74","11.12","5.28","4.53","4.66","3.75","3.26","9.42","","","","","","","","","","","","","","","","","","","7.2","29.96","5.11"
